id,titulo,autor
338,Jane Eyre (trad. Toni Hill),Charlotte Brontë
339,Jane Eyre,Charlotte Brontë
340,Shirley,Charlotte Brontë
341,Villette,Charlotte Brontë
342,Guerra Mundial Z,Max Brooks
343,Angeles y demonios,Dan Brown
344,El codigo Da Vinci,Dan Brown
345,El simbolo perdido,Dan Brown
346,Inferno (Version Latina),Dan Brown
347,La conspiracion,Dan Brown
348,La fortaleza digital,Dan Brown
349,Origen,Dan Brown
350,Cain,Lord Byron
351,Cartas y poesías mediterráneas,Lord Byron
352,Diario de Cefalonia,Lord Byron
353,Don Juan,Lord Byron
354,El corsario,Lord Byron
355,El infiel,Lord Byron
356,Lara,Lord Byron
357,Marino Faliero,Lord Byron
358,Parisina,Lord Byron
359,Poemas escogidos,Lord Byron
360,Prometeo liberado,Percy Bysshe Shelley
361,St. Irvyne o El rosacruz,Percy Bysshe Shelley
362,2001 Una odisea espacial,Arthur C. Clarke
363,2010 Odisea dos,Arthur C. Clarke
364,2061 Odisea tres,Arthur C. Clarke
365,3001 Odisea final,Arthur C. Clarke
366,Alcanza el manana,Arthur C. Clarke
367,Canticos de la lejana Tierra,Arthur C. Clarke
368,Cita con Rama,Arthur C. Clarke
369,Claro de Tierra,Arthur C. Clarke
370,Cuentos de la taberna del ciervo blanco,Arthur C. Clarke
371,Cuentos del planeta Tierra,Arthur C. Clarke
372,Cuna,Arthur C. Clarke
373,El Centinela,Arthur C. Clarke
374,El encuentro con Medusa,Arthur C. Clarke
375,El fantasma del Titanic,Arthur C. Clarke
376,El fin de la infancia,Arthur C. Clarke
377,El jardin de Rama,Arthur C. Clarke
378,El juego del escondite,Arthur C. Clarke
379,El leon de Comarre - A la caida de la noch,Arthur C. Clarke
380,El martillo de Dios,Arthur C. Clarke
381,El mundo es uno,Arthur C. Clarke
382,El ojo del tiempo,Arthur C. Clarke
383,El ultimo teorema,Arthur C. Clarke
384,El viento del sol. Relatos de la era espac,Arthur C. Clarke
385,En las profundidades,Arthur C. Clarke
386,Expedicion a la Tierra,Arthur C. Clarke
387,Factor detonante,Arthur C. Clarke
388,Fuentes del paraiso,Arthur C. Clarke
389,Islas en el cielo,Arthur C. Clarke
390,La ciudad y las estrellas (trad. de Lopez,Arthur C. Clarke
391,La ciudad y las estrellas,Arthur C. Clarke
392,La luna de diamante,Arthur C. Clarke
393,La medicion del Universo,Arthur C. Clarke
394,Las arenas de Marte,Arthur C. Clarke
395,Los nueve mil millones de nombres de Dios,Arthur C. Clarke
396,Los seres radiantes,Arthur C. Clarke
397,Luz de otros dias,Arthur C. Clarke
398,Luz de otros tiempos,Arthur C. Clarke
399,Maxima tension,Arthur C. Clarke
400,Naufragio en el mar selenita,Arthur C. Clarke
401,Rama II,Arthur C. Clarke
402,Rama revelada,Arthur C. Clarke
403,Regreso a Titan,Arthur C. Clarke
404,Relatos de diez mundos,Arthur C. Clarke
405,Sismo Grado 10,Arthur C. Clarke
406,Torbellino,Arthur C. Clarke
407,Tormenta solar,Arthur C. Clarke
408,Tras la caida de la noche,Arthur C. Clarke
409,Una odisea espacial La saga completa,Arthur C. Clarke
410,La monarquia del miedo,Martha C. Nussbaum
411,Cómo ganar amigos e influir sobre las personas (Dale Carnegie),Dale Carnegie
412,Habitos atomicos,James Clear
413,El mayor encanto amor,Pedro Calderon de la Barca
414,La vida es sueno,Pedro Calderon de la Barca
415,Bajo el sol jaguar,Italo Calvino
416,Coleccion de arena,Italo Calvino
417,Cuentos populares italianos (Vol. I),Italo Calvino
418,Cuentos populares italianos (Vol. II),Italo Calvino
419,De fabula,Italo Calvino
420,El baron rampante,Italo Calvino
421,El caballero inexistente,Italo Calvino
422,El camino de San Giovanni,Italo Calvino
423,El castillo de los destinos cruzados,Italo Calvino
424,El sendero de los nidos de arana,Italo Calvino
425,El vizconde demediado,Italo Calvino
426,La especulacion inmobiliaria,Italo Calvino
427,La gran bonanza de las Antillas,Italo Calvino
428,La hormiga argentina,Italo Calvino
429,La jornada de un interventor electoral,Italo Calvino
430,La nube de smog,Italo Calvino
431,Las ciudades Invisibles,Italo Calvino
432,Los amores dificiles,Italo Calvino
433,Marcovaldo,Italo Calvino
434,Orlando furioso,Italo Calvino
435,Palomar,Italo Calvino
436,Por que leer los clasicos,Italo Calvino
437,"Por ultimo, el cuervo",Italo Calvino
438,Punto y aparte,Italo Calvino
439,Seis propuestas para el proximo milenio,Italo Calvino
440,Si una noche de invierno un viajero,Italo Calvino
441,Tiempo cero,Italo Calvino
442,Todas las cosmicomicas,Italo Calvino
443,Breviario de la dignidad humana,Albert Camus
444,Caligula,Albert Camus
445,Cartas a un amigo aleman,Albert Camus
446,Correspondencia 1946-1959,Albert Camus
447,Cronicas (1944-1953),Albert Camus
448,El exilio y el reino (trad. Manuel de Lope,Albert Camus
449,El exilio y el reino,Albert Camus
450,El extranjero,Albert Camus
451,El hombre rebelde,Albert Camus
452,El malentendido,Albert Camus
453,El mito de Sisifo,Albert Camus
454,El primer hombre,Albert Camus
455,El reves y el derecho. Discurso de Suecia,Albert Camus
456,El verano,Albert Camus
457,Escritos libertarios,Albert Camus
458,La caida,Albert Camus
459,La muerte feliz,Albert Camus
460,La peste,Albert Camus
461,Los justos,Albert Camus
462,A traves del espejo,Lewis Carroll
463,Alicia en el Pais de las Maravillas Al otro lado del espejo,Lewis Carroll
464,Alicia en el pais de las maravillas,Lewis Carroll
465,Las aventuras de Alicia,Lewis Carroll
466,El mar que nos rodea,Rachel Carson
467,Primavera silenciosa,Rachel Carson
468,El Desguace,Maria Cera
469,Cuentos de Canterbury,Geoffrey Chaucer
470,La dama del perrito,Anton Chejov
471,11 de Septiembre,Noam Chomsky
472,Chomsky esencial,Noam Chomsky
473,Como nos venden la moto,Noam Chomsky
474,Conocimiento y libertad,Noam Chomsky
475,Cooperacion o extincion,Noam Chomsky
476,Crear el futuro,Noam Chomsky
477,El nuevo humanismo militar,Noam Chomsky
478,Estados fallidos,Noam Chomsky
479,Estados peligrosos,Noam Chomsky
480,Gaza en crisis,Noam Chomsky
481,Hegemonia o supervivencia,Noam Chomsky
482,Ilusiones necesarias,Noam Chomsky
483,Intervenciones,Noam Chomsky
484,La aldea global,Noam Chomsky
485,La arquitectura del lenguaje,Noam Chomsky
486,La era Obama,Noam Chomsky
487,La naturaleza humana justicia versus pode,Noam Chomsky
488,La responsabilidad de los intelectuales,Noam Chomsky
489,Las intenciones del Tio Sam,Noam Chomsky
490,"Lo que decimos, se hace",Noam Chomsky
491,Malestar global,Noam Chomsky
492,Miedo a la democracia,Noam Chomsky
493,Optimismo contra el desaliento,Noam Chomsky
494,Porque lo decimos nosotros,Noam Chomsky
495,Proceso contra Skinner,Noam Chomsky
496,Razones para la anarquia,Noam Chomsky
497,Requiem por el sueno americano,Noam Chomsky
498,Sobre el poder y la ideologia,Noam Chomsky
499,Quien domina el mundo,Noam Chomsky
500,Asesinato en Bardsley Mews,Agatha Christie
501,Asesinato en Mesopotamia,Agatha Christie
502,Asesinato en el Orient Express,Agatha Christie
503,Asesinato en el campo de golf,Agatha Christie
504,Asesinato en la calle Hickory,Agatha Christie
505,Autobiografia,Agatha Christie
506,Cafe solo,Agatha Christie
507,Cartas sobre la mesa,Agatha Christie
508,Cianuro espumoso,Agatha Christie
509,Cinco cerditos (Edicion ilustrada),Agatha Christie
510,Cinco cerditos,Agatha Christie
511,Cita con la muerte,Agatha Christie
512,Cuentos completos,Agatha Christie
513,Despues del funeral,Agatha Christie
514,Destino desconocido,Agatha Christie
515,Diez negritos,Agatha Christie
516,El asesinato de Rogelio Ackroyd,Agatha Christie
517,El caso de los anonimos,Agatha Christie
518,El cuadro,Agatha Christie
519,El enigmatico Mr. Quin,Agatha Christie
520,El espejo se rajo de parte a parte,Agatha Christie
521,El hombre del traje color castano,Agatha Christie
522,El misterio de Listerdale,Agatha Christie
523,El misterio de Pale Horse,Agatha Christie
524,El misterio de Sans-Souci,Agatha Christie
525,El misterio de Sittaford,Agatha Christie
526,El misterio de la guia de ferrocarriles,Agatha Christie
527,El misterio de las siete esferas,Agatha Christie
528,El misterio del Tren Azul,Agatha Christie
529,El misterioso caso de Styles,Agatha Christie
530,El misterioso senor Brown,Agatha Christie
531,El pudding de Navidad,Agatha Christie
532,El secreto de Chimneys,Agatha Christie
533,El templete de Nasse House,Agatha Christie
534,El testigo mudo,Agatha Christie
535,El tren de las 4.50,Agatha Christie
536,El truco de los espejos,Agatha Christie
537,En el hotel Bertram,Agatha Christie
538,Hacia cero,Agatha Christie
539,Inocencia tragica,Agatha Christie
540,Intriga en Bagdad,Agatha Christie
541,La carga - Agatha Christie Mary Westmacott,Agatha Christie
542,La casa torcida,Agatha Christie
543,La muerte de Lord Edgware,Agatha Christie
544,La muerte visita al dentista,Agatha Christie
545,La puerta del destino,Agatha Christie
546,La ratonera,Agatha Christie
547,La rosa de sangre - Agatha Christie Mary Westmacott,Agatha Christie
548,La senora McGinty ha muerto,Agatha Christie
549,La telarana,Agatha Christie
550,La tercera muchacha,Agatha Christie
551,La venganza de Nofret,Agatha Christie
552,Las manzanas,Agatha Christie
553,Lejos de ti esta primavera - Agatha Christie Mary Westmacott,Agatha Christie
554,Los cuatro grandes,Agatha Christie
555,Los elefantes pueden recordar,Agatha Christie
556,Los relojes,Agatha Christie
557,Los trabajos de Hercules,Agatha Christie
558,Maldad bajo el sol,Agatha Christie
559,Matar es facil,Agatha Christie
560,Matrimonio de sabuesos,Agatha Christie
561,Misterio en el Caribe,Agatha Christie
562,Muerte en el Nilo,Agatha Christie
563,Muerte en la vicaria,Agatha Christie
564,Muerte en las nubes,Agatha Christie
565,Navidades tragicas,Agatha Christie
566,Nemesis,Agatha Christie
567,Noche eterna,Agatha Christie
568,Ocho casos de Poirot,Agatha Christie
569,Parker Pyne investiga,Agatha Christie
570,Pasajero para Francfort,Agatha Christie
571,Peligro inminente,Agatha Christie
572,Pleamares de la vida,Agatha Christie
573,Poirot en Egipto (Edicion ilustrada),Agatha Christie
574,Poirot en Egipto,Agatha Christie
575,Poirot infringe la ley,Agatha Christie
576,Poirot investiga,Agatha Christie
577,Primeros casos de Poirot,Agatha Christie
578,Problema en Pollensa,Agatha Christie
579,Retrato inacabado - Agatha Christie Mary Westmacott,Agatha Christie
580,Sangre en la piscina,Agatha Christie
581,Se anuncia un asesinato,Agatha Christie
582,Srta. Marple y trece problemas,Agatha Christie
583,Telon,Agatha Christie
584,Testigo de cargo,Agatha Christie
585,Tragedia en tres actos,Agatha Christie
586,Trayectoria de Boomerang,Agatha Christie
587,Tres ratones ciegos,Agatha Christie
588,Un amor sin nombre - Agatha Christie Mary Westmacott,Agatha Christie
589,Un cadaver en la biblioteca,Agatha Christie
590,Un crimen dormido,Agatha Christie
591,Un dios solitario y otros relatos,Agatha Christie
592,Un gato en el palomar,Agatha Christie
593,Un punado de centeno,Agatha Christie
594,Un triste cipres,Agatha Christie
595,Una hija es una hija - Agatha Christie Mary Westmacott,Agatha Christie
596,Una visita inesperada (novelizacion),Agatha Christie
597,Una visita inesperada,Agatha Christie
598,Ven y dime como vives,Agatha Christie
599,A orillas del rio Piedra me sente y llore,Paulo Coelho
600,Adulterio,Paulo Coelho
601,Aleph,Paulo Coelho
602,Brida,Paulo Coelho
603,Cuentos de Navidad,Paulo Coelho
604,El Demonio y la senorita Prym,Paulo Coelho
605,El Zahir,Paulo Coelho
606,El alquimista,Paulo Coelho
607,El camino del arquero,Paulo Coelho
608,El libro de los manuales,Paulo Coelho
609,El manuscrito encontrado en Accra,Paulo Coelho
610,El peregrino de Compostela,Paulo Coelho
611,El vencedor esta solo,Paulo Coelho
612,Hippie,Paulo Coelho
613,La bruja de Portobello,Paulo Coelho
614,La espia,Paulo Coelho
615,La quinta montana,Paulo Coelho
616,Las confesiones del peregrino,Paulo Coelho
617,Maktub,Paulo Coelho
618,Manual del guerrero de la luz,Paulo Coelho
619,Once minutos,Paulo Coelho
620,Veronika decide morir,Paulo Coelho
621,Balada de pajaros cantores y serpientes,Suzanne Collins
622,En llamas,Suzanne Collins
625,Gregor. La profecia de la destruccion,Suzanne Collins
624,Gregor La profecia del gris,Suzanne Collins
627,Los juegos del hambre,Suzanne Collins
628,Sinsajo,Suzanne Collins
629,El corazon de las tinieblas,Joseph Conrad
630,Cronicas de Alburia,Andres Cortes Caballero
631,62 Modelo para armar,Julio Cortázar
632,"Adios, Robinson y otras piezas breves",Julio Cortázar
633,Alguien que anda por ahi,Julio Cortázar
634,Argentina anos de alambradas culturales,Julio Cortázar
635,Bestiario,Julio Cortázar
636,Cartas 1937-1954,Julio Cortázar
637,Cartas 1955-1964,Julio Cortázar
638,Cartas 1965-1968,Julio Cortázar
639,Cartas 1969-1976,Julio Cortázar
640,Cartas 1977-1984,Julio Cortázar
641,Clases de literatura,Julio Cortázar
642,Cuentos completos 1,Julio Cortázar
643,Cuentos completos 2,Julio Cortázar
644,Deshoras,Julio Cortázar
645,Diario de Andres Fava,Julio Cortázar
646,Divertimento,Julio Cortázar
647,El examen,Julio Cortázar
648,El perseguidor y otros relatos,Julio Cortázar
