Número Consecutivo,Título,Autor,Sinopsis,Género,Año,URL Preview
12,Convivio - Dante Alighieri,"Alighieri, Dante",Banquete de sabiduría donde el autor comenta sus propios poemas desde una perspectiva filosófica y moral.,Ensayo,1307,https://drive.google.com/file/d/1lQmNm_98e_b5NPT2KyHJ0v3aGy2yvvGj/preview
13,La vida nueva - Dante Alighieri,"Alighieri, Dante","Obra que combina prosa y verso para narrar el amor idealizado del autor por su musa, Beatriz.",Poesía,1294,https://drive.google.com/file/d/13ePm8xZcQbQfM7llrcUaxXPOarRFxR-5/preview
14,La_divina_comedia-Dante_Alighieri,"Alighieri, Dante","Poema épico que narra el viaje del alma a través del Infierno, el Purgatorio y el Paraíso.",Poesía épica,1320,https://drive.google.com/file/d/1Lp2vBFWRCcIjABZT7XLG4dww27Wf9o2n/preview
15,Monarquia - Dante Alighieri,"Alighieri, Dante",Tratado político que defiende la necesidad de un imperio universal para garantizar la paz y justicia mundiales.,Filosofía Política,1313,https://drive.google.com/file/d/1pQ7Y1a36EraYAAnEE61hhamJ1-FX3fWu/preview
16,Chevalier Auguste Dupin y la carta robada - Edgar Allan Poe,"Allan Poe, Edgar","Colección de relatos protagonizados por el analítico detective Dupin, precursor del género de misterio moderno.",Cuento,1841,https://drive.google.com/file/d/1mGYYUurPV9tW-5Irhzca-TBoZctr2fQv/preview
17,Cuentos (trad. Julio Gomez de la Serna) - Edgar Allan Poe,"Allan Poe, Edgar","Antología de relatos góticos que exploran el terror, la locura y los misterios del alma humana.",Cuento,1840,https://drive.google.com/file/d/1xW114oRN02OTYDPHYTuissGnh8C9XBZa/preview
18,Cuentos completos (Penguin Clasicos) - Edgar Allan Poe,"Allan Poe, Edgar","Recopilación exhaustiva de la narrativa breve de Poe, incluyendo sus famosos cuentos de terror y analítica.",Cuento,1845,https://drive.google.com/file/d/1fXi_ZoslqUIuSX0SxCnXX0RoM5dBPtpf/preview
19,Cuentos completos - Edgar Allan Poe,"Allan Poe, Edgar",Obra que reúne todas las piezas narrativas breves del maestro del relato corto y la atmósfera macabra.,Cuento,1845,https://drive.google.com/file/d/1QDlT4uQlZnX0fJBKY8lAkKSrDoB9kZzt/preview
20,Cuentos de imaginacion y misterio - Edgar Allan Poe,"Allan Poe, Edgar",Selección de relatos que destacan por su ingenio detectivesco y sus atmósferas sobrenaturales y angustiantes.,Cuento,1908,https://drive.google.com/file/d/1TXflUKJzulVfNZs-8FPj7fAUObDG11tH/preview
21,El Cuervo - Edgar Allan Poe,"Allan Poe, Edgar",Poema narrativo que explora la melancolía y la desesperación de un amante tras la pérdida de su amada.,Poesía,1845,https://drive.google.com/file/d/1UIKP2My6lQtI_xrSr1m1diaHcu2I901M/preview
22,El barril de amontillado - Edgar Allan Poe,"Allan Poe, Edgar",Relato sobre una fría y calculada venganza perpetrada durante los carnavales en unas catacumbas italianas.,Cuento,1846,https://drive.google.com/file/d/1qbGK4Q434e5lgAsUSnBU0U5M2PtGGDQZ/preview
23,El escarabajo de oro y otros cuentos (Ilus - Edgar Allan Poe,"Allan Poe, Edgar",Relato centrado en la búsqueda de un tesoro pirata mediante la resolución de un complejo criptograma.,Cuento,1843,https://drive.google.com/file/d/1GfB114sMLywtY2M3UHTjqMgKKy6nt4OG/preview
24,El gato negro (Ilustrado) - Edgar Allan Poe,"Allan Poe, Edgar",Cuento de terror psicológico sobre un hombre cuya cordura se desintegra tras cometer actos de crueldad animal.,Cuento,1843,https://drive.google.com/file/d/1EvHoIm0NndYfyO-Kc2W4upFPsDINZ8ln/preview
25,El pozo y el pendulo y otras historias esp - Edgar Allan Poe,"Allan Poe, Edgar",Narración angustiante sobre los tormentos sufridos por un prisionero de la Inquisición en una celda oscura.,Cuento,1842,https://drive.google.com/file/d/1KAJakEloI44QefQHpGUce9BTS1OTchZf/preview
26,Eureka - Edgar Allan Poe,"Allan Poe, Edgar",Ensayo cosmogónico y poético donde el autor expone sus teorías sobre el origen y destino del universo.,Ensayo,1848,https://drive.google.com/file/d/1j74G-TN8WFniHvgE5XlZGYmX-MxiozDu/preview
27,Historias extraordinarias - Edgar Allan Poe,"Allan Poe, Edgar",Clásica recopilación de relatos que definieron el terror moderno y la narrativa de suspense.,Cuento,1840,https://drive.google.com/file/d/10p1xPGOOUBrCoDZes8MyAEx5tzDb570E/preview
28,La caida de la Casa Usher (Ilustrado) - Edgar Allan Poe,"Allan Poe, Edgar",Relato gótico sobre la decadencia física y mental de una familia en una mansión sombría y aislada.,Cuento,1839,https://drive.google.com/file/d/1v44yPf3qJ9CX_WHKJh-kzJ41Cc0Bp0K6/preview
29,La carta robada - Edgar Allan Poe,"Allan Poe, Edgar",Relato fundacional del género policial donde Dupin utiliza la lógica para hallar un documento oculto a plena vista.,Cuento,1844,https://drive.google.com/file/d/1Z7h9yhzTO8E-MotKAS504OIOdGwVhTb1/preview
30,La ciencia-ficcion de Edgar Allan Poe - Edgar Allan Poe,"Allan Poe, Edgar",Recopilación de relatos de Poe que anticipan elementos de la ciencia ficción moderna y la tecnología.,Cuento,1976,https://drive.google.com/file/d/1vX390wYlqUWUDZSqZzRd8bVNiwkQNVcC/preview
31,La narracion de A. Gordon Pym (Ilustrado) - Edgar Allan Poe,"Allan Poe, Edgar","Única novela del autor que narra un viaje marítimo lleno de aventuras, motines y horrores sobrenaturales.",Novela,1838,https://drive.google.com/file/d/1LxVzTjjtAvpNeozcD1WHtTOSwsp62AMY/preview
32,Los casos de Monsieur Dupin - Edgar Allan Poe,"Allan Poe, Edgar","Antología de las tres historias protagonizadas por el primer detective de la literatura, C. Auguste Dupin.",Cuento,1841,https://drive.google.com/file/d/1XhWlCKixTwtB519dUQBQIKHy7gQO0C6O/preview
33,Los extraordinarios casos de monsieur Dupi - Edgar Allan Poe,"Allan Poe, Edgar",Volumen que reúne los misterios resueltos por el agudo intelecto de Dupin en las calles de París.,Cuento,1841,https://drive.google.com/file/d/1fFZm2sZX-zMjvx0ai3ZPljYHDl4M1zIJ/preview
34,Manuscrito hallado en una botella - Edgar Allan Poe,"Allan Poe, Edgar",Relato de aventuras náuticas que culmina en un encuentro fantasmal y terrorífico en los confines del océano.,Cuento,1833,https://drive.google.com/file/d/1Hrqwy0TO6D_VYgMXtNNG75sV6fgHdtha/preview
35,Narracion de Arthur Gordon Pym - Edgar Allan Poe,"Allan Poe, Edgar",Relato extendido sobre un polizón que enfrenta canibalismo y misterios inexplicables en un viaje hacia el Antártico.,Novela,1838,https://drive.google.com/file/d/1LwhAVEYqgfR33YKQKCQCi4ybYnCQo63s/preview
36,Narrativa completa (trad. Julio Gomez de l - Edgar Allan Poe,"Allan Poe, Edgar","Cuerpo total de la obra narrativa de Poe, consolidando su legado como maestro del terror y el suspense.",Cuento,1950,https://drive.google.com/file/d/1F1P_ZCfFODbH8kHmQfN1_-ZMDEYeUWiP/preview
37,Afrodita - Isabel Allende,"Allende, Isabel","Obra que combina memorias, anécdotas eróticas y recetas de cocina para celebrar los placeres de la vida.",Memorias/Recetario,1997,https://drive.google.com/file/d/1wdUbLHjNGqKCW0qynaImPJi5-cIfcrNx/preview
38,Amor - Isabel Allende,"Allende, Isabel","Antología de pasajes sobre el amor extraídos de sus obras anteriores, comentados por la autora.",Ensayo/Antología,2012,https://drive.google.com/file/d/1V_C3b6_g3yFVxV5SCu0tnySN3QDkwAZM/preview
39,Cuentos de Eva Luna - Isabel Allende,"Allende, Isabel","Colección de relatos narrados por el personaje Eva Luna, llenos de pasión, humor y realismo mágico.",Cuento,1989,https://drive.google.com/file/d/1XtxJIUdDqc9xY0dgKUHGJCyjmJpjaYkk/preview
40,De amor y de sombra - Isabel Allende,"Allende, Isabel",Historia de amor en medio de la represión política de una dictadura militar en un país latinoamericano.,Novela,1984,https://drive.google.com/file/d/1XFFWsBki7Dd1CCuFvc1837FDokY1dqHw/preview
41,El Juego de Ripper - Isabel Allende,"Allende, Isabel",Novela policial sobre un grupo de internautas que intentan resolver una serie de asesinatos en San Francisco.,Novela negra,2014,https://drive.google.com/file/d/1gAwPaBO-3mx5DinXi0TPoS0VQ18z_YjH/preview
42,El Zorro_ Comienza la leyenda - Isabel Allende,"Allende, Isabel","Reinvención de la leyenda de Diego de la Vega, narrando sus orígenes y su transformación en el héroe enmascarado.",Novela de aventuras,2005,https://drive.google.com/file/d/1d9afrDMsVw3yAh4IB2B_xdrwwWy1CZX3/preview
43,El amante japones - Isabel Allende,"Allende, Isabel","Relato sobre un amor prohibido que perdura a través de décadas, desde la Segunda Guerra Mundial hasta el presente.",Novela,2015,https://drive.google.com/file/d/1tFaRirOzCylNR5Kjgnuxj7wdq9cH-RT3/preview
44,El bosque de los pigmeos - Isabel Allende,"Allende, Isabel","Última entrega de la trilogía juvenil, donde Alexander y Nadia viven una aventura en el corazón de África.",Novela juvenil,2004,https://drive.google.com/file/d/1saN8jbYhqvusou9UoiyLUYKCVThy9sQi/preview
45,El cuaderno de Maya - Isabel Allende,"Allende, Isabel","Una joven huye de sus problemas hacia una isla remota en Chile, donde descubre su propia historia familiar.",Novela,2011,https://drive.google.com/file/d/1CKt-UI5pjUddYbRwyhXGvHBiF08nfks_/preview
46,El plan infinito - Isabel Allende,"Allende, Isabel",Saga sobre la vida de un hombre blanco que crece en un barrio hispano de California y busca su destino.,Novela,1991,https://drive.google.com/file/d/1riYBmSeCt4fVNW1RztDWwWmyh2e9zN1D/preview
47,El reino del Dragon de Oro - Isabel Allende,"Allende, Isabel","Segunda aventura de Alexander y Nadia, esta vez en las montañas del Himalaya en busca de una estatua sagrada.",Novela juvenil,2003,https://drive.google.com/file/d/1O_MM0_7_A4AIA9QIuDbE83PEyuzWCf7D/preview
48,El sexo y yo - Isabel Allende,"Allende, Isabel",Breve ensayo personal donde la autora reflexiona sobre su visión de la sexualidad y el erotismo femenino.,Ensayo,1997,https://drive.google.com/file/d/15iV2Ojopd_rcMv6Q9m5KN_ec0wEJzQVS/preview
49,Eva Luna - Isabel Allende,"Allende, Isabel",Novela sobre una mujer con el don de contar historias que navega por los tumultuosos cambios sociales de su país.,Novela,1987,https://drive.google.com/file/d/1_58hTAo32-6ZhpqT8EQvobTUXJ6z4ovJ/preview
50,Hija de la fortuna - Isabel Allende,"Allende, Isabel",Una joven viaja de Chile a California durante la fiebre del oro en busca de su amante y de sí misma.,Novela histórica,1999,https://drive.google.com/file/d/11jEZhhGsjacnFwf4ZvTGs4tQ12NN0aMF/preview
51,Ines del alma mia - Isabel Allende,"Allende, Isabel","Crónica novelada de la vida de Inés Suárez, la mujer que participó en la conquista de Chile.",Novela histórica,2006,https://drive.google.com/file/d/10MNubvwThIkBN_cpsab99JQJQfWqv1Yv/preview
52,La casa de los espiritus - Isabel Allende,"Allende, Isabel","Saga familiar de los Trueba que mezcla política, pasiones y elementos sobrenaturales en la historia de Chile.",Novela,1982,https://drive.google.com/file/d/1MqV6ERp5Hk-YzcJUzOwt26yz6KvL1h8-/preview
53,La ciudad de las bestias - Isabel Allende,"Allende, Isabel",Inicio de la trilogía juvenil sobre una expedición al Amazonas para encontrar a una criatura mítica.,Novela juvenil,2002,https://drive.google.com/file/d/1hYGImAcnlXQY8Lo_v1byEC1SS_DoXP8P/preview
54,La gorda de porcelana - Isabel Allende,"Allende, Isabel",Cuento infantil sobre un hombre gris cuya vida cambia al comprar una figura de porcelana que cobra vida.,Infantil,1984,https://drive.google.com/file/d/1SO4-O8wmkekvJ7pgu_hvxc36XzammyfZ/preview
55,La isla bajo el mar - Isabel Allende,"Allende, Isabel",Historia de una esclava en el Santo Domingo francés y su lucha por la libertad y la dignidad.,Novela histórica,2009,https://drive.google.com/file/d/1EaDp4eFeTDwYbOXjvOrjNAWyX94J_bqI/preview
56,La suma de los dias - Isabel Allende,"Allende, Isabel","Continuación de sus memorias iniciadas en Paula, narrando la vida de su numerosa y peculiar familia.",Memorias,2007,https://drive.google.com/file/d/1m0-Fdx1kwTnpOXqD-ncQ5lXwNbvA_1nr/preview
57,Largo petalo de mar - Isabel Allende,"Allende, Isabel",Relato sobre exiliados de la Guerra Civil española que buscan una nueva vida en el Chile de Neruda.,Novela histórica,2019,https://drive.google.com/file/d/17Nv4K3TCoBc6QZyL2T8H6-SNhBOaZMyl/preview
58,Los amantes del Guggenheim. El oficio de c - Isabel Allende,"Allende, Isabel",Relato corto sobre un encuentro romántico inesperado y la labor del escritor como contador de historias.,Cuento,2018,https://drive.google.com/file/d/1aaP7nQ71wHdoYeoS8xAlD2EXgQ9K9C0b/preview
59,Mas alla del invierno - Isabel Allende,"Allende, Isabel",Tres personajes se unen en una tormenta de nieve en Nueva York para superar tragedias personales y encontrar esperanza.,Novela,2017,https://drive.google.com/file/d/1t9g9qE-pjSXDo7wxDq6u-1F3gIUiR-u-/preview
60,Mi pais inventado - Isabel Allende,"Allende, Isabel","Viaje nostálgico y personal por la geografía, la historia y la idiosincrasia de Chile vista desde el exilio.",Memorias,2003,https://drive.google.com/file/d/1ZfCZ0y8Dxf6SNdxqx5OGjUuRBdkp0b79/preview
61,Mujeres del alma mia - Isabel Allende,"Allende, Isabel","Reflexiones sobre el feminismo, la edad y el amor, rindiendo homenaje a las mujeres que marcaron su vida.",Memorias/Ensayo,2020,https://drive.google.com/file/d/18M7xnP9i4zujzLfg3_pwUUvY9rmq6twP/preview
62,Paula - Isabel Allende,"Allende, Isabel","Conmovedor relato escrito para su hija en coma, recorriendo la historia de su familia y la de Chile.",Memorias,1994,https://drive.google.com/file/d/1b38ohJ6HzaD6c4X3CTUkATVhKW9u2wNT/preview
63,Retrato en sepia - Isabel Allende,"Allende, Isabel",Novela que sigue la historia de Aurora del Valle y su búsqueda de identidad en el Chile de finales del XIX.,Novela histórica,2000,https://drive.google.com/file/d/1YCQbujWzZmOvBZpSAAhqW684yEIyNyxA/preview
64,La_sombra-Hans_Christian_Andersen,"Andersen, Hans Christian","Cuento alegórico sobre un hombre que pierde su sombra, la cual termina usurpando su identidad y vida.",Cuento fantástico,1847,https://drive.google.com/file/d/1axSIGkglZga6G1XX77E0cy33QgbWkDa1/preview
65,Las_habichuelas_magicas-Hans_Christian_Andersen,"Andersen, Hans Christian",Adaptación del cuento clásico sobre un niño que cambia una vaca por semillas que crecen hasta el cielo.,Cuento infantil,1840,https://drive.google.com/file/d/1nKletf3pdAaDSGSS_i0-X7dtUCMcVFfm/preview
66,Yo se por que canta el pajaro enjaulado - Maya Angelou,"Angelou, Maya",Poderosa autobiografía que narra la infancia de la autora marcada por el racismo y la superación personal.,Autobiografía,1969,https://drive.google.com/file/d/1g6_yTLVxH_pt24GNUl4bnJL2H8xbo81K/preview
67,Evangelio_de_Judas-Anonimo,Anonimo,Texto gnóstico que ofrece una visión alternativa del papel de Judas Iscariote en la pasión de Cristo.,Religión/Gnosticismo,150,https://drive.google.com/file/d/1izyu9hEhZ-bc4Fq_hcrCMW-NxovhvPQm/preview
68,Kamasutra_el_arte_de_amar-Anonimo,Anonimo,"Antiguo tratado indio sobre el comportamiento humano, el amor, el deseo y las relaciones sociales y sexuales.",Ensayo,200,https://drive.google.com/file/d/1Umi6v9iCFQpvZiNHZApPFhYHjUZVafzg/preview
69,Las_mil_y_una_noches-Anonimo,Anonimo,Famosa recopilación de cuentos folclóricos del Oriente Medio unidos por el relato marco de Sherezade.,Cuento/Folclore,800,https://drive.google.com/file/d/1hWyiUuXPGrMcToAy8URxBYCmTTtjfihI/preview
70,Correspondencia 1925-1975 - Hannah Arendt,"Arendt, Hannah",Recopilación de las cartas intercambiadas entre la filósofa y Martin Heidegger a lo largo de cinco décadas.,Epistolar/Filosofía,1998,https://drive.google.com/file/d/1T_BfH_aLdKB6fzmbxyg3fPYNa69L2RU1/preview
71,Crisis de la Republica - Hannah Arendt,"Arendt, Hannah","Colección de ensayos sobre la desobediencia civil, la violencia y la política estadounidense durante la guerra de Vietnam.",Filosofía Política,1972,https://drive.google.com/file/d/1umkKxxq8lDKvi03TYCS-vNPSKIpHAlH5/preview
72,Eichmann en Jerusalen - Hannah Arendt,"Arendt, Hannah","Análisis del juicio al criminal nazi Adolf Eichmann, donde la autora acuña el concepto de la banalidad del mal.",Ensayo/Historia,1963,https://drive.google.com/file/d/1bK7ItPiBrKTHS0GyMjNFRo8fjMG0L_eJ/preview
73,Hombres en tiempos de oscuridad - Hannah Arendt,"Arendt, Hannah",Serie de ensayos biográficos sobre intelectuales que mantuvieron su integridad en los años oscuros del siglo XX.,Ensayo/Biografía,1968,https://drive.google.com/file/d/1wJnsov6CCfKOgQEK0ASsbLDqXYbn-USC/preview
74,Karl Marx y la tradicion del pensamiento p - Hannah Arendt,"Arendt, Hannah",Estudio sobre la influencia de Marx en la tradición política occidental y las raíces del pensamiento totalitario.,Filosofía Política,2007,https://drive.google.com/file/d/1KcGY0EGczYHkob7asfmrc2ul53Tbkv1Z/preview
75,La condicion humana - Hannah Arendt,"Arendt, Hannah","Examen de la vita activa (labor, trabajo y acción) y su relevancia para la libertad y la política moderna.",Filosofía,1958,https://drive.google.com/file/d/1AXygvMgWrUBiCZW5x9Yaciw4bKqX1UX4/preview
76,La libertad de ser libres - Hannah Arendt,"Arendt, Hannah",Ensayo inédito que reflexiona sobre el significado profundo de la revolución y el concepto de libertad política.,Filosofía Política,2018,https://drive.google.com/file/d/179E4vvfbGK1kwl0DLgeO_Lpf0LY_S5sh/preview
77,La pluralidad del mundo - Hannah Arendt,"Arendt, Hannah",Antología de textos esenciales que abordan la diversidad humana como base fundamental de la vida política.,Filosofía,2019,https://drive.google.com/file/d/1-vnBiowsH9S_5--ezf9IwnKYa54V0BAr/preview
78,La vida del espiritu - Hannah Arendt,"Arendt, Hannah","Obra póstuma dedicada a las facultades mentales de pensar, querer y juzgar como pilares de la experiencia humana.",Filosofía,1978,https://drive.google.com/file/d/1ccMuEb9-oGKJVUcow2AiYP_Rncc8P9Li/preview
79,Los origenes del totalitarismo - Hannah Arendt,"Arendt, Hannah","Investigación histórica sobre el surgimiento del antisemitismo, el imperialismo y los regímenes nazi y estalinista.",Filosofía Política,1951,https://drive.google.com/file/d/1GvoJDBHy9Lpn_TiCmbFiBX_hKV1cIDEW/preview
80,Sobre la violencia - Hannah Arendt,"Arendt, Hannah","Reflexión filosófica que distingue los conceptos de poder, potencia, fuerza, autoridad y violencia en la sociedad.",Filosofía Política,1970,https://drive.google.com/file/d/1vEfD2cfedwnl8u042Y2ZyjiO_fJ-TFik/preview
81,Acerca de la generacion y la corrupcion - - Aristoteles,Aristóteles,"Tratado físico que explica los procesos de cambio, generación y desaparición de los seres en el mundo sublunar.",Filosofía/Ciencia,-350,https://drive.google.com/file/d/15Vw4pX7xrJN5Lj-e0W30SUhVdTWohjcr/preview
82,Acerca del alma - Aristoteles,Aristóteles,"Estudio sobre la naturaleza del alma, sus funciones y su relación con el cuerpo y la percepción.",Filosofía/Psicología,-350,https://drive.google.com/file/d/1k6hTd3802NsgeQj1NblDsc-reoXwKPQJ/preview
83,Acerca del cielo - Meteorologicos - Aristoteles,Aristóteles,Investigación sobre la cosmología esférica y los fenómenos atmosféricos desde la perspectiva de la física clásica.,Filosofía/Ciencia,-350,https://drive.google.com/file/d/1JUFKmBnNStgIbilyGAKG1e_nH8JedlUy/preview
84,Aristoteles I - Aristoteles,Aristóteles,Primer volumen recopilatorio de los tratados lógicos y físicos fundamentales del pensamiento aristotélico.,Filosofía,-350,https://drive.google.com/file/d/1KBHHDdueV0WyZcLFg5Vd9PMTs__1AGE1/preview
85,Aristoteles II - Aristoteles,Aristóteles,"Segundo volumen que reúne obras sobre ética, política y biología, esenciales para comprender su sistema filosófico.",Filosofía,-350,https://drive.google.com/file/d/1L8zPlZid77B8uzp4bEDma3rgyUDHUJGU/preview
86,Constitucion de los atenienses - Economico - Aristoteles,Aristóteles,Descripción histórica del sistema político de Atenas y tratados sobre la administración del hogar y la economía.,Filosofía Política,-322,https://drive.google.com/file/d/1d2DnYRbLqeND4PI_EskLK3Tad4diDKoa/preview
87,Del sentido y lo sensible de la memoria y  - Aristoteles,Aristóteles,"Tratados breves sobre la psicología humana, abordando la percepción sensorial, el recuerdo y la vigilia.",Filosofía/Psicología,-350,https://drive.google.com/file/d/1okbb-yn5MzsHD6m_rcuWeBB4blOsiGsN/preview
88,El arte de la politica - Aristoteles,Aristóteles,Selección de pasajes sobre la organización de la ciudad-estado y las diferentes formas de gobierno justo.,Filosofía Política,-350,https://drive.google.com/file/d/1i1zNp48IJZycDuk-iAQyg0SdWYExkWXY/preview
89,Etica Nicomaquea - Etica Eudemia - Aristoteles,Aristóteles,"Obras fundamentales sobre la ética de la virtud, la felicidad como fin último y la importancia del término medio.",Filosofía,-350,https://drive.google.com/file/d/1wjTbQb9BiKHiG_2Pngv8BxaIM24WRBC-/preview
90,Fisica - Aristoteles,Aristóteles,"Tratado teórico sobre los principios naturales, el movimiento, el tiempo y la causa primera de todas las cosas.",Filosofía/Física,-350,https://drive.google.com/file/d/1IUK7VehP8z64TIZbhb6FYErLRlzu9igG/preview
91,Fragmentos - Aristoteles,Aristóteles,Recopilación de textos perdidos o incompletos atribuidos al filósofo sobre diversos temas científicos y humanísticos.,Filosofía,-350,https://drive.google.com/file/d/1OSMHh1S_E1rhXHsRkovUwTb3mEo2Y4fk/preview
92,Investigacion sobre los animales - Aristoteles,Aristóteles,Obra fundacional de la biología que clasifica y describe las estructuras y comportamientos de diversas especies animales.,Ciencia/Biología,-350,https://drive.google.com/file/d/15RLkCHtFM6AqwiwLQaAWRM0Ga1CRv_FY/preview
93,La gran moral - Aristoteles,Aristóteles,"Tratado ético, posiblemente de autoría peripatética, que resume los principios de la conducta moral y la felicidad.",Filosofía,-300,https://drive.google.com/file/d/1XH2BgKq6SE_svcFWiaKkIreaGsm65DjU/preview
94,Metafisica - Aristoteles,Aristóteles,"Investigación sobre las causas primeras, la naturaleza del ser en cuanto ser y la teología filosófica.",Filosofía,-350,https://drive.google.com/file/d/1ABZyYQZEU6JO5l4UpZ0ZTYKhEYj6YH2_/preview
95,Obra biologica - Aristoteles,Aristóteles,"Conjunto de tratados dedicados al estudio de la vida, la reproducción y la anatomía de los seres vivos.",Ciencia/Biología,-350,https://drive.google.com/file/d/15I1Q9HPRIqyRyy8Qr_frE8aXr6X9QRcA/preview
96,Partes de los Animales - Marcha de los Ani - Aristoteles,Aristóteles,Análisis teleológico de las funciones biológicas y los mecanismos de locomoción en el reino animal.,Ciencia/Biología,-350,https://drive.google.com/file/d/1TT8n31ACOanmsfuEenpSJXObcfCVyO3w/preview
97,Poetica - Magna Moralia - Aristoteles,Aristóteles,"Tratado sobre la estética y el arte dramático, analizando la tragedia, la épica y la catarsis emocional.",Filosofía/Estética,-335,https://drive.google.com/file/d/1pQzByKHLw7A9BATyJpKc6fnRiK66w4j0/preview
98,Politica (trad. Patricio de Azcarate) - Aristoteles,Aristóteles,"Análisis clásico sobre la ciudad, la ciudadanía, las constituciones y la búsqueda del bien común en la sociedad.",Filosofía Política,-350,https://drive.google.com/file/d/1YHDv3BAa8Wdeu-jujGjBsH4ONqLJXfZO/preview
99,Politica - Aristoteles,Aristóteles,Obra maestra sobre la teoría del Estado que define al hombre como un animal político por naturaleza.,Filosofía Política,-350,https://drive.google.com/file/d/17NEStuu3De6eF8wyqJGnj_bCSpf6vbL6/preview
100,Problemas - Aristoteles,Aristóteles,"Colección de preguntas y respuestas sobre diversos temas científicos, médicos y cotidianos desde una perspectiva racionalista.",Filosofía/Ciencia,-300,https://drive.google.com/file/d/15Mqr1oaMiJ_3b37WJvUW7PbMXPMRm3Sy/preview
101,Reproduccion de los animales - Aristoteles,Aristóteles,Tratado biológico que analiza los métodos de generación y desarrollo embrionario en diversas especies animales.,Ciencia/Biología,-350,https://drive.google.com/file/d/1xGUWAWr1_HQBKjyJ8ag6xUcCQ1BdFsLN/preview
102,Retorica - Aristoteles,Aristóteles,"Obra clásica que define los principios de la persuasión, los tipos de discurso y las emociones del oyente.",Filosofía/Retórica,-350,https://drive.google.com/file/d/1P69bFuOtsJ3iG7JXTF2cNxe-OlGPjtkX/preview
103,Sobre las lineas indivisibles - Mecanica - - Aristoteles,Aristóteles,Escritos sobre problemas matemáticos de magnitud y principios físicos de las máquinas simples y el movimiento.,Filosofía/Física,-350,https://drive.google.com/file/d/1-nQoGnUMkYbB7U09p91Nk4oDeGru5WTR/preview
104,Tratados de Logica (Organon) I - Aristoteles,Aristóteles,"Primer volumen de la recopilación lógica que incluye Categorías, De la Interpretación y Analíticos Primeros.",Filosofía/Lógica,-350,https://drive.google.com/file/d/1a8wnsBH3DwBBfbea-lWX0P5_9D_Dr6kD/preview
